Event Name,Event ID
540,Mexico Open at Vidanta
Magical Kenya Open,2024110
NMB Championship,2024303
International Series Oman,10294
10289,Dream Valley Group presents Vooty Masters
624,Trophy Hassan II
Golf Mad Open,10287
10292,GolfStar Winter Series - Forest
10288,Ein Bay Open
GolfStar Winter Series - Links,10286
7,The Genesis Invitational
"Webex Players Series Hunter Valley, Hosted by Jan Stephenson & Peter O'Malley",10285
IRS Prima Malaysian Open,10284
10283,Singha E-San Open
Dimension Data Pro-Am,2024302
552,Chubb Classic
10280,Tata Steel PGTI Players Championship 2024 presented by Tollygunge Club
2024301,Bain's Whisky Cape Town Open
WM Phoenix Open,3
2024147,Commercial Bank Qatar Masters
Webex Players Series Sydney Hosted by Braith Anasta,10279
104,Astara Golf Championship presented by Mastercard
Las Vegas,25
Vic Open,10274
2024300,SDC Open
24,Mayakoba
5,AT&T Pebble Beach Pro-Am
The Panama Championship,84
2024109,Bahrain Championship presented by Bapco Energies
Red Sea Egyptian Classic,10273
10266,10th Boonchu Ruangkit Championship
10267,Webex Players Series Hosted by Geoff Ogilvy
Mediclinic Invitational,10268
Ras Al Khaimah Championship,2024108
Farmers Insurance Open,4
Red Sea Ain Sokhna Open,10262
125,The Bahamas Great Abaco Classic at The Abaco Club
10261,Webex Players Series Murray River in honour of Jarrod Lyle
2024107,Hero Dubai Desert Classic
The American Express,2
El Salvador Open Championship,10257
524,Mitsubishi Electric Championship at Hualalai
10256,Altron Big Easy Tour 9
The Bahamas Great Exuma Classic at Sandals Emerald Bay,124
6,Sony Open in Hawaii
2024106,Dubai Invitational
Heritage Classic,10254
Altron Big Easy Tour 8,10255
16,The Sentry
AfrAsia Bank Mauritius Open,2024105
Saudi Open presented by Public Investment Fund,10250
88,PGA TOUR Q-School presented by Korn Ferry
10246,Bhawani Singh Rathore presents Jaipur Open powered by AU Small Finance Bank
10248,Altron Big Easy Tour 7
2024104,Alfred Dunhill Championship
Promotions Event,23
CGA Championship,10241
10243,51st Thailand Open
10245,E5 - El Jaguar Golf Open Presented by Inmobilia
10242,SSP Chawrasia Invitational presented by TAKE Sports
10235,Golf Nippon Series JT Cup
ISPS Handa Australian Open,2024102
Investec South African Open Championship,2024103
10236,Taiwan Glass Taifong Open
Hero World Challenge #2,550
10238,Kapil Dev - Grant Thornton Invitational presented by DLF
10237,Saudi Aramco Invitational
2024100,Fortinet Australian PGA Championship
10231,24th Singha Thailand Masters
Chongqing Open,10229
Joburg Open,2024101
Casio World Open Golf Tournament,10228
IndianOil Servo Masters Golf,10230
549,The RSM Classic #2
Dunlop Phoenix Tournament,10223
10226,Victorian PGA Championship
10224,BNI Indonesian Masters presented by Tunas Niaga Energi
2023146,DP World Tour Championship
10225,Toyota Tour Championship
Altron Big Easy Tour 6,10227
2023713,DP World Tour Qualifying (Final Stage)
10218,Gippsland Super 6
Butterfield Bermuda Championship #2,548
2023145,Nedbank Golf Challenge
Hong Kong Open,10215
Charles Schwab Cup Championship,539
LG SIGNATURE Players Championship,10217
Mitsui Sumitomo VISA Taiheiyo Masters,10214
10216,PKNS Selangor Masters
V Copa Multimedios,10220
10219,Altron Big Easy Tour 5
Mynavi ABC Championship,10203
10208,Queensland PGA Championship
Jeev Milkha Singh Invitational presented by TAKE Sports,10206
10204,Volvo China Open
World Wide Technology Championship #2,547
Golfzon-Toray OPEN,10205
2023324,Rolex Challenge Tour Grand Final supported by the R&A
9,TimberTech Championship
10207,Vodacom Origins of Golf Finals
Commercial Bank Qatar Masters,2023150
Haryana Open presented by Wonder Cement,10198
Hengdian International Golf Elite Pro-Am,10197
10200,Backsong Holdings-Asiad CC Busan Open
SunBet Challenge hosted by Sun Sibaya,10199
Miami (Team Final—Stroke Play),22
546,ZOZO CHAMPIONSHIP #2
10192,Mitsubishi Electric Fa Golf Open
Dominion Energy Charity Classic,623
2023149,Estrella Damm N.A. Andalucía  Masters
10194,VOG KZN
10193,Webex Players Series SA hosted by Greg Blewett
10195,E3 - Copa SIMSA Patrocinada por Combugas
10191,Delight Works JGTO FINAL
Road to Europe Final,10189
10188,Alps Tour Grand Final Presented by Auralis Limitless Lighting
2023337,Hainan Open
21,Jeddah
609,SAS Championship
acciona Open de España presented by Madrid,2023143
545,Shriners Children's Open #2
CKB WA PGA Championship presented by TX Civil & Logistics,10183
SJM Macao Open,10180
10178,Japan Open Golf Championship
Genesis Championship,10182
The 2nd Indo Masters Golf Invitational presented by TNE,10181
10179,The #1 Tour Final in Golf
44,Constellation FURYK & FRIENDS
2023142,Alfred Dunhill Links Championship
Korn Ferry Tour Championship presented by United Leasing & Finance,45
544,Sanderson Farms Championship #2
Hopps Open de Provence,2023323
WA Open,10174
10173,Hyundai Marine & Fire Insurance KJ Choi Invitational
ACN Championship Golf Tournament,10167
Fortress Invitational,10175
10169,International Series Singapore
Singha Championship,10172
J&K Open presented by J&K Tourism,10171
10170,OB Golf Invitational Presented by Sentul Highlands Golf Club
10168,Ryo Ishikawa everyone PROJECT Challenge
10164,Castanea Resort Championship
Mercuries Taiwan Masters,10157
Vantelin Tokai Classic,10156
10161,Bollineni Panache & Telangana Tourism presents Telangana Golconda Masters
10159,elite grips challenge
10160,OB Golf Championship
Destination Gotland Open,10158
Chicago,20
94,Nationwide Children's Hospital Championship
616,PURE Insurance Championship
Cazoo Open de France,2023140
2023322,Swiss Challenge
iMBank opening,10151
10153,PGA Championship
Panasonic Open Golf Championship,10149
Amanali Classic,10155
Yeangder TPC,10150
10154,Vizag Open
10152,Great Northern Challenge
Fortinet Championship #2,543
Sanford International,23
2023321,Open de Portugal at Royal Óbidos
2023139,BMW PGA Championship
120,Simmons Bank Open for the Snedeker Foundation
BIZPLAY-Electronic Times OPEN,10142
ANA Open Golf Tournament,10141
VOG Western Cape,10143
10144,Hauts de France-Pas de Calais Golf Open
10145,TRUST Forsikring Championship
2023304,Challenge de España
2023138,Horizon Irish Open
625,Ascension Charity Classic
10,Fortinet Cup Championship
Shinhan Donghae Open,10135
10136,Singha Bangkok Open
10134,Guotai Open
10130,Onsjö Open
PGM Challenge,10133
Omega European Masters,2023137
10121,Fujisankei Classic
53,CRMC Championship presented by Gertens
LX Championship,10122
2023320,Indoor Golf Group Challenge
BRG Open Golf Championship Da Nang,10125
FaberExposize Gelpenberg Open,10123
10124,DUNLOP PHOENIX tournament challenge in Fukushima
Gary & Vivienne Player Challenge,10127
The Nordcenter Fream Extreme,10126
2023319,Dormy Open
TOUR Championship,60
St Andrews Bay Championship,10112
CentrePort Canada Rail Park Manitoba Open,6
27,Albertsons Boise Open presented by Chevron
10115,KPGA Gunsan CC Open
Timberwise Finnish Open,10105
10110,Sansan KBC Augusta
The Ally Challenge,22
2023136,D+D Real Czech Masters
10106,Staan Open
10113,BNI Ciputra Golfpreneur Tournament
10114,Coimbatore Open presented by KGiSL
Altron Big Easy Tour 4,10117
ISPS Handa World Invitational presented by AVIV Clinics,2023135
BMW Championship,28
10097,International Series England
Tailor-made Building Services NT PGA Championship,10100
168,Magnit Championship
17,Shaw Charity Classic
Vierumäki Finnish Challenge ,2023318
10099,India Cements Pro Championship
Stippelberg Open,10094
Club de Golf Mexico Invitational,10102
10093,Esbjerg Open by FREJA
10098,The Indonesia Pro-Am presented by Combiphar & Nomura
10101,SunBet Challenge - Time Square
10089,Singha all Thailand Championship
Boeing Classic,619
Farmfoods Scottish Challenge supported by the R&A,2023317
10090,Vodacom Origins of Golf
123,Pinnacle Bank Championship presented by Aetna
27,FedEx St. Jude Championship
19,Bedminster
Wyndham Championship,13
Yokohama Minato Championship ~Fujiki Centennial~,10082
26,Utah Championship presented by Zions Bank
Windsor Championship,46
Mandiri Indonesia Open,10083
British Challenge presented by Modest! Golf Management,2023316
Greenbrier,18
10078,BWT Championship
Altron Big Easy Tour 3,10084
Irish Challenge,2023315
The Senior Open Presented by Rolex,614
525,3M Open
Japan PGA Championship,10075
48,Osprey Valley Open presented by Votorantim Cimentos CBM Aggregates
131,NV5 Invitational presented by Old National Bank
10076,FNB Eswatini Challenge @ Nkonyeni
Abruzzo Alps Open,10070
Miklagard Open,10071
10072,Raiffeisen Pro Golf Tour St. Pölten
22,Price Cutter Charity Championship presented by Dr Pepper
Barracuda Championship,472
100,The Open Championship
Big Green Egg German Challenge powered by VcG,2023314
Commissionaires Ottawa Open,70
10065,Volvo China Open Qualifying
SunBet Challenge - Wild Coast,10067
The Cuber Open,10062
130,The Ascendant presented by Blue
Quebec Open powered by Videotron Business,44
10056,Singha Pattaya Open
507,Kaulig Companies Championship
Tres Vidas Tour Championship,10058
Barbasol Championship,518
541,Genesis Scottish Open
2023313,Euram Bank Open
Fred Olsen Alps de La Gomera,10051
Minami Akita CC Michinoku Challenge Tournament,10055
10057,Altron Big Easy Tour 2
2023130,Made in HimmerLand
John Deere Classic,30
2023312,Italian Challenge Open
ADT - All Thailand Partnership Trophy,10046
17,London
Arlandastad Trophy by Cutter & Buck,10043
10044,Gradi Polish Open by Emeralld
Altron Big Easy Tour 1,10047
2023129,Betfred British Masters
57,Bupa Tour Championship
3,ATB Classic
122,Memorial Health Championship presented by LRS
Shigeo Nagashima INVITATIONAL Sega Sammy Cup,10040
Le Vaudreuil Golf Challenge,2023311
16,Valderrama
524,Rocket Mortgage Classic
512,U.S. Senior Open
Aravell Golf Open by Creand,10034
10035,PGA Championship Landeryd Masters
60,Jalisco Open GDL
34,Travelers Championship
8,DICK'S Sporting Goods Open
166,Compliance Solutions Championship
69,Elk Ridge Saskatchewan Open presented by Brandt
Blot Open de Bretagne,2023310
JAPAN PLAYERS CHAMPIONSHIP by Satosyokuhin,10030
10031,Kolon The 65th Korea Open Golf Championship
2023128,BMW International Open
10024,Tenerife Pro Golf Open
2023309,Kaskáda Golf Challenge
26,U.S. Open
Blue Cross and Blue Shield of Kansas Wichita Open,23
2,Royal Beach Victoria Open presented by Times Colonist
Hana Bank Invitational,10020
Alps de Andalucia,10016
Japan Create Challenge in FukuokaRaizan,10021
10017,Greatdays Trophy
American Family Insurance Championship,622
Singha Chiang Mai Open,10012
Volvo Car Scandinavian Mixed,2023126
BMW Charity Pro-Am presented by TD SYNNEX,37
10011,ASO IIZUKA Challenged Golf Tournament
The 66th KPGA Championship with A-ONE CC,10013
IV Pro - Am Ventanas de San Miguel,10005
32,RBC Canadian Open
Andalucía Challenge de Cádiz,2023308
10008,Croara Alps Open
Landic Challenge 10,10004
10003,Thomas Bjørn Samsø Classic - by Samsø Festival
2023307,D+D Real Czech Challenge
10000,BMW Japan Golf Tour Championship Mori Building Cup
59,Inter Rapidisimo Golf Championship presentado por Volvo
608,Principal Charity Classic
2023125,Porsche European Open
10001,Zhengzhou Open
the Memorial Tournament presented by Workday,23
9996,Open de la Mirabelle d'Or
48,UNC Health Championship presented by STITCH
9992,UNICEF Championship
9993,SunBet Challenge hosted by Sun City
Riedhof Open,9991
21,Charles Schwab Challenge
9984,Gate Way To The Open Mizuno Open
2023124,KLM Open
KitKat Cash & Carry Pro-am,9989
9986,Exciting Hangzhou West Lake Open
9988,KB Finance LIIV Championship
Copenhagen Challenge presented by Ejner Hessel,2023306
DC,15
11,Colombia Classic presentado por Rocha Brothers
520,KitchenAid Senior PGA Championship
Singha Laguna Phuket Open,9987
11,Visit Knoxville Open
9985,Taiheiyo Club Challenge Tournament
Memorial Giorgio Bordoni by AON,9979
9980,Gamle Fredrikstad Open
2023305,B-NL Challenge Trophy
9975,Zanaco Masters
9972,Golf Partner Pro - Am Tournament
33,PGA Championship
Jinan Open,9973
9974,SK Telecom Open
AdventHealth Championship,100
Altozano Open,9976
9970,Stora Hotellet Fjällbacka Open
Regions Tradition,558
2023122,Soudal Open
Guangdong Open,9966
Tulsa,14
Woori Financial Group Championship,9967
19,AT&T Byron Nelson
31st Goesser Open,9962
JAPAN PLAYERS CHAMPIONSHIP CHALLENGE in FUKUI,9965
Skåne Challenge by Ahlsell,9963
FBC Zim Open,9960
The 42nd GS Caltex Maekyung Open Golf Championship,9958
2023328,UAE Challenge
DS Automobiles Italian Open,2023117
KIA Open,22
480,Wells Fargo Championship
Mitsubishi Electric Classic,15
PNG Open,9959
9955,Golfkusten Blekinge by Scandic Hotels
13,Singapore
Insperity Invitational,615
Abu Dhabi Challenge,2023327
8,Diners Club Peru Open
Korea Championship Presented by Genesis,2023121
The Crowns,9950
HomeTown Lenders Championship,134
540,Mexico Open at Vidanta
Bravo Tours Open by Enjoy Resorts,9945
9946,Haugschlag NÖ Open by perfect eagle
Royal Hua Hin Thailand Championship by MENA Tour,9951
12,Adelaide
Invited Celebrity Classic,53
129,LECOM Suncoast Classic
9940,The Tour Championship
2023120,ISPS HANDA - CHAMPIONSHIP
18,Zurich Classic of New Orleans
9939,Golfzon OPEN In Jeju
9938,Singha Classic
Alps de Las Castillas,9934
9937,Ahmedabad Open Golf Championship presented by Glade One
9936,i Golf Shaper Challenge in Chikushigaoka
9942,"Malaysian Swing II, The Els Club, Desaru Coast"
9952,Sand Valley Spring Series Final - by ECCO
9926,International Series Vietnam
137,Veritex Bank Championship
RBC Heritage,12
The 18th DB Insurance Promy Open,9927
9928,Stella Artois Players Championship
9925,Kansai Open Golf Championship
9932,Tata Steel PGTI Players Championship presented by Chandigarh Golf Club
Abierto De Aguascalientes,9930
9922,GEBWELL Championship
9929,"Malaysian Swing I, The Els Club, Desaru Coast"
9921,Sand Valley Polish Masters - by Upgame
9931,EINBAY Red Sea Open
14,Masters Tournament
9920,Delhi-NCR Open
Novil Cup,9919
Little Venice Red Sea Open,9918
JHSF Aberto do Brasil,6
Astara Chile Classic,167
9915,The National Tournament Presented by BMW
11,Orlando
41,Valero Texas Open
Limpopo Championship,9916
Token Homemate Cup,9914
2023326,The Challenge presented by KGA
128,Club Car Championship at The Landings Golf & Athletic Club
Red Sea Egyptian Classic,9909
Roberto de Vicenzo Memorial 100 Years,61
Jonsson Workwear Open,2023119
Corales Puntacana Championship,522
2023325,Duncan Taylor Black Bull Challenge
56,The Galleri Classic
World City Championship presented by Hong Kong Golf Club,9905
Singha all Thailand Memorial,9899
Hoag Classic,573
SDC Championship,2023118
42,Termas de Rio Hondo Invitational
Valspar Championship,475
9900,Play Today NSW Open
Tucson,10
The DGC Open,9897
9901,Red Sea Ain Sokhna Classic
2023114,Magical Kenya Open
9892, International Series Thailand
11,THE PLAYERS Championship
NZ PGA Championship,9893
Mediclinic Invitational,9894
Cologuard Classic,18
9885,102nd NZ Open Presented by Sky Sport
Puerto Rico Open,483
Arnold Palmer Invitational presented by Mastercard,9
9888,Camiral Golf & Wellness Championship
V Copa Prissa,9887
Gujarat Open Golf Championship 2023 presented by Gujarat Tourism,9886
9889,ECCO Tour Spanish Masters
Red Sea Little Venice Open,9884
9,Mayakoba
2023112,Hero Indian Open
9881,"TPS Hunter Valley, Hosted by Jan Stephenson & Peter O'Malley"
9880,Singha E-San Open
10,The Honda Classic
Nelson Mandela Bay Championship,2023303
 GolfStar Winter Series II,9878
9877,Ein Bay Open
Thailand Classic,2023111
9872,International Series Qatar
9873,"TPS Sydney, Presented by Webex, Hosted by Braith Anasta"
2023302,SDC Open
552,Chubb Classic
9874,GolfStar Winter Series I
7,The Genesis Invitational
Dimension Data Pro-Am,2023301
Singapore Classic,2023110
WM Phoenix Open,3
Vic Open,9865
International Series Oman,9863
104,Astara Golf Championship presented by Mastercard
624,Trophy Hassan II
9867,Tabachines Classic
9864,Tata Steel PGTI Players Championship presented by Tollygunge Club
9866,Egyptian Swing 2 at Madinaty Golf Club
9857,TPS Murray River in honour of Jarrod Lyle
5,AT&T Pebble Beach Pro-Am
2023300,Bain's Whisky Cape Town Open
9856,PIF Saudi International powered by Softbank Investment Advisers
The Panama Championship,84
Ras Al Khaimah Championship,2023109
Egyptian Swing 1 at Madinaty Golf Club,9858
9849,TPS Victoria Hosted by Geoff Ogilvy
9848,9th Boonchu Ruangkit Championship
2023108,Hero Dubai Desert Classic
9850,El Campanario Classic
Farmers Insurance Open,4
125,The Bahamas Great Abaco Classic at The Abaco Club
The American Express,2
Abu Dhabi HSBC Championship,2023107
524,Mitsubishi Electric Championship at Hualalai
The Bahamas Great Exuma Classic at Sandals Emerald Bay,124
6,Sony Open in Hawaii
16,Sentry Tournament of Champions
Taifong Open,9838
Chongqing Open,9839
Tata Steel Tour Championship,9837
16,Scotia Wealth Management Chile Open presented by Volvo
AfrAsia Bank Mauritius Open,2023105
CGA Championship,9835
SSP Chawrasia Invitational presented by TAKE,9836
9834,Aramco Invitational
Hainan Open,9828
9830,Gippsland Super 6
Neuquen Argentina Classic,12
2023104,Alfred Dunhill Championship
PIF Saudi Open,9829
9825,MENA Tour Tournament 4
9816,Mitsubishi Electric Open
Investec South African Open Championship,2023103
116 VISA Argentina Open presentado por Macro,13
478,Hero World Challenge
ISPS Handa Australian Open,2023102
9815,Golf Nippon Series JT Cup 
9817,BNI Indonesian Masters presented by Tunas Niaga Energi
9820,MENA Tour Tournament 3
9809,Bangabandhu Cup Golf Bangladesh Open
Joburg Open,2023101
2023100,Fortinet Australian PGA Championship
9811,Dream Valley Group presents Vooty Masters
9808,Casio World Open Golf Tournament
9810,Selangor Masters
9805,23rd Singha Thailand Masters
The RSM Classic,493
9802,Dunlop Phoenix Tournament
DP World Tour Championship,2022143
QLD PGA Championship,9806
9804, IndianOil Servo Masters Golf
Altron Big Easy Tour Final,9807
Charles Schwab Cup Championship,539
9793,Hengdian Championship
9796,LG Signature Players Championship
International Series Egypt,9794
9797, Victorian PGA Championship
Cadence Bank Houston Open,20
2022145,Nedbank Golf Challenge
9792,Mitsui Sumitomo VISA Taiheiyo Masters
Ira presents Telangana Masters powered by Telangana Tourism,9795
International Series Morocco,9786
World Wide Technology Championship at Mayakoba,457
9787,Mynavi ABC Championship
9,TimberTech Championship
PGA Championship,9788
Golfzone-Toray Open,9789
2022330,Rolex Challenge Tour Grand Final supported by The R&A
2022156,Portugal Masters
9782,Heiwa PGM Championship
8,Miami (Team Final—Stroke Play)
9783,Vodacom Origins of Golf Final
528,Butterfield Bermuda Championship
9776,Japan Open Golf Championship
Mallorca Golf Open,2022140
Dominion Energy Charity Classic,623
9778,WA Open Golf Championship
521,THE CJ CUP in South Carolina
Pune Open Golf Championship,9777
Sydbank Road to Europe Final - by Møn Golfresort,9774
The Matchroom Tour Championship ,9773
9779,SunBet Challenge hosted by Sun Sibaya
609,SAS Championship
ZOZO CHAMPIONSHIP,527
Jeev Milkha Singh Invitational presented by TAKE,9768
2022139,Estrella Damm N.A. Andalucía  Masters
9769,Singha Bangkok Open
2022324,English Trophy presented by Rocket Yard Sports Marketing
Jeddah,7
CKB WA PGA Championship presented by TX Civil & Logistics,9770
MoreGolf Mastercard Tour Final at PGA Sweden National,9765
Delight Works JGTO FINAL ,9767
For The Players By The Players,9757
44,Constellation FURYK & FRIENDS
Shriners Children's Open,47
2022341,British Challenge presented by Modest! Golf Management 
acciona Open de España presented by Madrid,2022138
9761,Fortress Invitational
9760,Genesis Championship
Bangkok,6
9754,Emilia Romagna Alps Tour Grand Final
Ryo Ishikawa everyone PROJECT Challenge,9758
Players Championship presented by American Express hosted by Govt of Haryana & Panchkula Golf Club,9759
Race to HimmerLand by FREJA,9755
Altron Big Easy Tour Play Off,9762
Sanderson Farms Championship,54
2022137,Alfred Dunhill Links Championship
Mercuries Taiwan Masters,9748
Hyundai Insurance KJ Choi Invitational,9750
Vantelin Tokai Classic,9745
Hopps Open de Provence,2022327
Vodacom Origins of Golf,9751
Kapil Dev - Grant Thornton Invitational 2022 presented by DLF,9749
9741,Castelconturbia Alps Open
9746,Elite grips challenge
Gumbalde Open by Destination Gotland,9742
Castanea Resort Championship,9743
Panasonic Open Golf Championship,9733
Yeangder TPC,9735
2022136,Cazoo Open de France
616,PURE Insurance Championship
DGB Financial Group Open,9737
2022326,Swiss Challenge
9738,SunBet Challenge hosted by Wild Coast Sun
9736,Combiphar Players Championship
Great Northern Challenge,9732
Wright-Morgan Championship,9731
ISPS HANDA Hero ni nare! Challenge Tournament,9734
464,Fortinet Championship
Sanford International,23
Chicago,5
2022325,Open de Portugal at Royal Óbidos
9726,Bizplay-Electronic Times Open
DS Automobiles Italian Open,2022135
10,Fortinet Cup Championship
ANA Open Golf Tournament,9722
9725,Rajasthan Tourism presents Jaipur Open 2022 powered by AU Small Finance Bank
Vodacom Origins of Golf,9727
OB Golf Invitational presented by Jababeka,9724
The Eagle Orchid Scottish Masters,9718
PGM Challenge,9723
TRUST Forsikring Championship,9719
625,Ascension Charity Classic
9713,The 38th Shinhan Donghae Open
2022134,BMW PGA Championship
9714,J&K Open 2022 presented by J&K Tourism
Gary & Vivienne Player Challenge,9715
9712,BMW Onsjö Open
Spey Valley Golf Resort,9711
Fujisankei Classic,9703
2022133,Made in HimmerLand
GolfBC Championship,39
9706,LX CHAMPIONSHIP
2022323,B-NL Challenge Trophy by Hulencourt
Boston,4
