Player Name,Course Name,Year Played,Date Completed,Round 1 Score,Round 2 Score,Round 3 Score,Round 4 Score,Round 1 SG Total,Round 2 SG Total,Round 3 SG Total,Round 4 SG Total,Round 1 SG App,Round 2 SG App,Round 3 SG App,Round 4 SG App,Round 1 SG Arg,Round 2 SG Arg,Round 3 SG Arg,Round 4 SG Arg,Round 1 SG Putt,Round 2 SG Putt,Round 3 SG Putt,Round 4 SG Putt,Round 1 Driving Distance,Round 2 Driving Distance,Round 3 Driving Distance,Round 4 Driving Distance,Round 1 Driving Accuracy,Round 2 Driving Accuracy,Round 3 Driving Accuracy,Round 4 Driving Accuracy
"Rahm, Jon",Torrey Pines (South),2021,2021-06-20,69,70,72,67,4.718,3.787,0.408,6.169,0.35,1.26,0.77,2.61,0.94,1.3,0.3,-0.27,1.51,1.33,-1.7,2.48,311.5,315.7,316.8,323.1,0.714,0.357,0.429,0.571
"Oosthuizen, Louis",Torrey Pines (South),2021,2021-06-20,67,71,70,71,6.718,2.787,2.408,2.169,1.27,0.06,0.21,1.35,1.52,0.87,-0.26,0.33,3.16,1.33,1.95,1.0,301.6,304.8,303.2,304.9,0.643,0.5,0.571,0.571
"English, Harris",Torrey Pines (South),2021,2021-06-20,72,70,71,68,1.718,3.787,1.408,5.169,0.82,2.08,0.64,0.42,2.65,0.95,0.17,0.06,-0.69,0.87,0.17,3.7,292.4,299.9,295.7,303.4,0.357,0.357,0.643,0.643
"Koepka, Brooks",Torrey Pines (South),2021,2021-06-20,69,73,71,69,4.718,0.787,1.408,4.169,1.37,0.96,0.32,1.97,-0.59,-0.52,0.58,0.67,3.02,0.4,-0.6,0.06,312.3,308.0,315.3,313.2,0.571,0.357,0.571,0.571
"Migliozzi, Guido",Torrey Pines (South),2021,2021-06-20,71,70,73,68,2.718,3.787,-0.592,5.169,2.5,3.15,-0.87,-0.09,0.95,1.92,-0.47,2.54,-0.58,-1.8,-0.01,2.2,299.2,304.6,303.9,301.8,0.357,0.357,0.643,0.5
"Morikawa, Collin",Torrey Pines (South),2021,2021-06-20,75,67,70,70,-1.282,6.787,2.408,3.169,0.05,1.98,1.05,2.76,0.27,0.74,-0.25,0.0,-2.52,2.47,0.81,-1.18,299.2,300.7,305.9,306.5,0.714,0.786,0.571,0.786
"Casey, Paul",Torrey Pines (South),2021,2021-06-20,71,75,67,70,2.718,-1.213,5.408,3.169,0.01,0.61,2.38,1.55,0.51,1.01,-0.1,1.83,0.42,-2.53,3.16,-0.91,311.6,302.9,307.5,308.0,0.714,0.429,0.429,0.571
"McIlroy, Rory",Torrey Pines (South),2021,2021-06-20,70,73,67,73,3.718,0.787,5.408,0.169,-0.01,-0.13,2.5,2.07,1.72,0.48,2.38,-0.29,0.67,-0.97,0.02,-2.06,323.8,314.8,317.7,318.2,0.429,0.643,0.571,0.429
"Grace, Branden",Torrey Pines (South),2021,2021-06-20,72,70,74,67,1.718,3.787,-1.592,6.169,2.31,1.76,0.95,1.37,1.05,2.28,1.05,0.46,-3.3,-0.24,-2.93,3.85,304.8,302.7,301.8,303.5,0.786,0.357,0.571,0.214
"Berger, Daniel",Torrey Pines (South),2021,2021-06-20,71,72,72,68,2.718,1.787,0.408,5.169,2.04,1.65,0.71,1.44,0.32,-0.35,1.1,-0.17,0.76,-0.28,-2.04,3.63,289.9,293.8,297.3,299.4,0.571,0.714,0.714,0.429
"Scheffler, Scottie",Torrey Pines (South),2021,2021-06-20,72,69,70,72,1.718,4.787,2.408,1.169,0.42,0.03,0.99,1.07,-0.81,0.77,0.63,-1.59,4.06,3.48,0.83,0.1,298.1,307.8,304.1,308.8,0.143,0.643,0.571,0.786
"Schauffele, Xander",Torrey Pines (South),2021,2021-06-20,69,71,72,71,4.718,2.787,0.408,2.169,2.12,1.37,0.95,-0.52,1.22,0.59,-0.25,0.02,-0.37,-0.46,-1.63,0.95,318.5,313.6,318.1,312.6,0.643,0.5,0.643,0.714
"Molinari, Francesco",Torrey Pines (South),2021,2021-06-20,68,76,69,71,5.718,-2.213,3.408,2.169,0.26,0.96,0.79,0.35,1.05,1.24,0.92,0.34,3.73,-3.56,2.34,1.27,300.6,297.1,299.3,303.1,0.714,0.286,0.429,0.429
"Henley, Russell",Torrey Pines (South),2021,2021-06-20,67,70,71,76,6.718,3.787,1.408,-2.831,3.01,1.34,1.19,0.88,-0.38,1.45,0.36,-0.06,3.8,0.41,0.99,-2.61,296.5,302.5,294.2,291.3,0.571,0.643,0.429,0.429
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,71,69,72,73,2.718,4.787,0.408,0.169,2.07,0.41,1.88,-1.31,1.09,2.0,-1.02,1.34,0.64,1.73,-0.72,1.16,292.2,296.9,299.7,291.0,0.286,0.643,0.571,0.429
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,70,75,71,69,3.718,-1.213,1.408,4.169,-1.91,-1.65,1.33,1.48,2.05,0.6,-0.09,0.8,2.24,-0.9,0.12,2.17,310.4,313.3,306.0,307.8,0.571,0.429,0.5,0.286
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,73,67,68,77,0.718,6.787,4.408,-3.831,-0.17,3.19,1.77,-1.04,0.37,1.91,1.01,-1.31,1.53,2.58,0.99,-1.44,300.5,294.2,307.6,300.9,0.286,0.286,0.643,0.5
"Wolff, Matthew",Torrey Pines (South),2021,2021-06-20,70,68,73,74,3.718,5.787,-0.592,-0.831,2.73,1.6,-1.79,-0.41,-0.95,0.1,-0.47,-2.11,0.43,2.1,1.65,0.76,319.7,328.5,321.6,320.9,0.429,0.429,0.214,0.429
"Garcia, Sergio",Torrey Pines (South),2021,2021-06-20,71,74,73,68,2.718,-0.213,-0.592,5.169,1.17,1.21,-0.64,3.49,0.71,-0.63,-1.55,-0.12,-0.06,-1.46,1.2,2.62,306.1,308.7,313.7,314.2,0.643,0.571,0.429,0.429
"Schwartzel, Charl",Torrey Pines (South),2021,2021-06-20,71,74,71,70,2.718,-0.213,1.408,3.169,1.37,0.43,-1.57,0.1,0.22,0.11,2.17,2.81,0.64,0.2,0.38,0.11,307.2,300.4,305.5,304.2,0.5,0.214,0.571,0.571
"Harman, Brian",Torrey Pines (South),2021,2021-06-20,72,71,71,72,1.718,2.787,1.408,1.169,1.38,-2.03,1.94,1.57,1.4,3.03,0.62,-1.24,0.66,0.98,-2.05,1.06,286.7,298.1,300.7,296.8,0.214,0.714,0.786,0.643
"Johnson, Dustin",Torrey Pines (South),2021,2021-06-20,71,73,68,74,2.718,0.787,4.408,-0.831,0.96,1.78,-0.49,0.21,0.36,-0.33,0.17,-0.92,0.29,-0.71,4.79,-0.64,314.9,311.0,305.3,305.6,0.357,0.286,0.357,0.5
"Thomas, Justin",Torrey Pines (South),2021,2021-06-20,73,69,71,73,0.718,4.787,1.408,0.169,-0.29,-0.47,1.12,-0.26,-0.8,2.45,0.37,0.77,1.48,2.0,-0.27,1.83,309.6,311.1,311.7,307.8,0.357,0.429,0.429,0.429
"Spieth, Jordan",Torrey Pines (South),2021,2021-06-20,77,69,68,72,-3.282,4.787,4.408,1.169,-1.32,1.24,5.87,-0.58,-1.54,1.69,-0.19,0.33,0.42,1.58,-1.55,0.77,298.5,305.2,307.2,304.0,0.286,0.5,0.571,0.571
"Reed, Patrick",Torrey Pines (South),2021,2021-06-20,72,73,74,67,1.718,0.787,-1.592,6.169,-0.66,-0.57,1.56,0.76,2.06,0.98,-0.09,0.66,0.33,0.34,-1.02,2.69,294.8,298.0,294.1,309.8,0.5,0.571,0.5,0.857
"Kaymer, Martin",Torrey Pines (South),2021,2021-06-20,77,68,69,73,-3.282,5.787,3.408,0.169,0.3,2.71,2.6,1.8,-0.14,-0.32,-0.33,0.44,-1.61,3.25,2.45,-1.33,294.4,292.7,286.8,292.7,0.214,0.571,0.5,0.5
"Matsuyama, Hideki",Torrey Pines (South),2021,2021-06-20,69,76,74,68,4.718,-2.213,-1.592,5.169,2.89,0.36,1.01,0.69,0.9,-0.8,-0.02,0.79,0.48,-1.21,-1.59,3.04,303.8,299.8,302.2,303.7,0.5,0.429,0.571,0.643
"Baker, Chris",Torrey Pines (South),2021,2021-06-20,74,71,69,73,-0.282,2.787,3.408,0.169,0.38,1.17,0.76,0.3,-2.0,0.23,-1.13,1.91,2.4,0.84,3.96,-0.7,296.5,300.2,296.9,297.5,0.429,0.643,0.5,0.286
"Hoshino, Rikuya",Torrey Pines (South),2021,2021-06-20,69,74,73,71,4.718,-0.213,-0.592,2.169,4.2,1.03,-0.37,2.93,-0.14,-0.78,-1.33,0.8,0.62,0.59,-0.12,-0.08,300.0,297.1,313.4,310.1,0.5,0.357,0.643,0.571
"DeChambeau, Bryson",Torrey Pines (South),2021,2021-06-20,73,69,68,77,0.718,4.787,4.408,-3.831,-1.56,2.36,2.63,1.79,-1.65,-1.66,-0.61,-4.08,1.91,2.38,1.94,-0.92,333.9,327.8,334.7,321.1,0.571,0.571,0.357,0.214
"Rodgers, Patrick",Torrey Pines (South),2021,2021-06-20,70,71,77,70,3.718,2.787,-4.592,3.169,-0.55,1.9,-3.01,0.28,-1.51,-0.02,-2.12,0.58,4.25,0.5,-0.16,1.93,319.3,320.7,314.2,322.3,0.714,0.571,0.429,0.286
"Niemann, Joaquin",Torrey Pines (South),2021,2021-06-20,75,69,71,73,-1.282,4.787,1.408,0.169,-1.25,2.87,2.12,-0.48,-1.77,0.44,0.0,0.39,1.09,0.01,-1.38,-0.62,314.6,318.9,317.7,317.9,0.429,0.643,0.429,0.5
"Bezuidenhout, Christiaan",Torrey Pines (South),2021,2021-06-20,72,70,70,76,1.718,3.787,2.408,-2.831,-1.04,2.01,2.51,0.44,1.78,-0.69,-0.17,0.44,1.29,2.05,0.73,-2.58,290.4,299.4,296.1,289.5,0.429,0.571,0.643,0.571
"Wu, Dylan",Torrey Pines (South),2021,2021-06-20,70,73,74,71,3.718,0.787,-1.592,2.169,1.64,0.17,-1.73,-0.42,0.95,1.99,0.94,1.17,1.32,-0.4,0.05,0.99,296.5,300.5,299.4,306.6,0.5,0.214,0.286,0.571
"Scott, Adam",Torrey Pines (South),2021,2021-06-20,70,75,71,73,3.718,-1.213,1.408,0.169,-0.25,-0.39,-0.73,-0.5,0.52,-0.72,0.75,0.63,2.53,0.46,2.09,-0.76,307.8,306.4,305.4,305.6,0.571,0.214,0.214,0.643
"Molinari, Edoardo",Torrey Pines (South),2021,2021-06-20,70,76,72,71,3.718,-2.213,0.408,2.169,0.43,-1.28,2.37,1.77,0.79,-0.49,-2.48,0.36,2.49,0.13,-0.02,-0.71,299.3,290.9,301.9,305.5,0.5,0.5,0.571,0.643
"Griffin, Lanto",Torrey Pines (South),2021,2021-06-20,76,69,69,75,-2.282,4.787,3.408,-1.831,-1.11,4.32,2.93,-1.71,-0.28,-0.04,1.91,-1.79,-1.57,0.65,-0.7,1.54,306.4,304.1,298.4,303.3,0.643,0.429,0.429,0.429
"Im, Sungjae",Torrey Pines (South),2021,2021-06-20,72,72,69,76,1.718,1.787,3.408,-2.831,0.69,-1.9,2.29,0.13,-0.06,1.14,1.13,-0.97,0.52,1.61,0.58,-1.09,300.9,303.4,290.4,296.4,0.571,0.714,0.5,0.429
"MacIntyre, Robert",Torrey Pines (South),2021,2021-06-20,71,73,72,73,2.718,0.787,0.408,0.169,2.84,-0.55,0.05,0.21,-0.01,0.66,2.31,-1.05,-0.65,0.6,-1.09,-0.13,303.8,305.1,299.7,315.2,0.571,0.429,0.429,0.571
"Poulter, Ian",Torrey Pines (South),2021,2021-06-20,74,71,68,77,-0.282,2.787,4.408,-3.831,-1.44,1.54,0.08,-1.87,-0.78,0.5,0.82,-1.42,1.23,1.43,2.96,-0.48,290.9,294.4,294.9,293.5,0.786,0.429,0.714,0.643
"Ormsby, Wade",Torrey Pines (South),2021,2021-06-20,72,74,73,71,1.718,-0.213,-0.592,2.169,1.48,1.18,0.84,-0.25,0.21,-0.7,-1.11,2.0,0.86,-1.46,0.86,0.54,285.6,288.1,287.0,289.4,0.5,0.857,0.571,0.786
"Reavie, Chez",Torrey Pines (South),2021,2021-06-20,76,68,72,74,-2.282,5.787,0.408,-0.831,1.65,3.09,-1.59,1.88,-1.36,1.35,2.96,-1.25,-2.89,-0.03,-0.21,-0.96,288.5,289.4,285.5,285.3,0.643,0.929,0.714,0.714
"Hadwin, Adam",Torrey Pines (South),2021,2021-06-20,70,72,75,73,3.718,1.787,-2.592,0.169,1.62,-1.07,-2.68,-0.66,0.4,1.32,-1.49,-0.23,2.37,0.98,3.39,1.54,293.7,295.4,293.8,298.8,0.643,0.643,0.5,0.357
"Kim, Si Woo",Torrey Pines (South),2021,2021-06-20,71,75,70,74,2.718,-1.213,2.408,-0.831,2.52,0.63,-0.42,-0.26,0.21,-1.32,0.48,0.36,-0.58,-1.3,0.52,-1.19,300.2,301.7,307.4,301.7,0.571,0.643,0.857,0.571
"Poston, J.T.",Torrey Pines (South),2021,2021-06-20,72,73,71,74,1.718,0.787,1.408,-0.831,2.11,-1.0,-0.9,-1.32,-1.05,0.71,1.76,-0.63,0.97,-0.25,1.02,2.72,293.0,299.4,300.3,296.0,0.571,0.786,0.5,0.214
"Westwood, Lee",Torrey Pines (South),2021,2021-06-20,71,72,71,77,2.718,1.787,1.408,-3.831,1.01,0.3,1.58,-3.83,-0.68,-0.06,0.57,-0.57,1.54,0.66,-0.84,0.65,300.3,302.2,301.7,298.6,0.643,0.714,0.5,0.571
"Frittelli, Dylan",Torrey Pines (South),2021,2021-06-20,73,72,72,74,0.718,1.787,0.408,-0.831,0.4,0.03,-2.29,-1.54,1.29,-0.6,-0.83,-1.4,-2.2,0.84,4.21,2.56,316.8,309.3,313.6,316.7,0.571,0.643,0.143,0.286
"Hoge, Tom",Torrey Pines (South),2021,2021-06-20,72,71,76,72,1.718,2.787,-3.592,1.169,-0.83,2.54,-0.65,0.43,-0.64,0.22,-0.14,0.56,2.36,-0.74,-2.26,0.6,294.5,295.1,287.0,289.8,0.786,0.714,0.571,0.571
"Lamb, Rick",Torrey Pines (South),2021,2021-06-20,71,75,74,71,2.718,-1.213,-1.592,2.169,1.62,-1.93,-0.61,0.23,-0.37,-3.21,-1.85,-1.14,1.84,3.08,1.15,2.0,293.4,306.8,300.5,306.8,0.5,0.714,0.5,0.571
"Bland, Richard",Torrey Pines (South),2021,2021-06-20,70,67,77,78,3.718,6.787,-4.592,-4.831,1.14,1.44,-3.45,-3.93,0.78,0.26,-0.09,0.93,1.99,4.67,-1.25,-2.93,290.4,291.4,290.0,294.7,0.643,0.714,0.714,0.786
"Watson, Bubba",Torrey Pines (South),2021,2021-06-20,72,67,77,76,1.718,6.787,-4.592,-2.831,1.25,0.89,-2.22,-1.37,0.25,1.24,-0.81,0.08,-0.29,3.59,-2.6,-0.98,304.5,308.4,308.4,303.1,0.5,0.643,0.643,0.357
"Cabrera Bello, Rafa",Torrey Pines (South),2021,2021-06-20,68,76,74,74,5.718,-2.213,-1.592,-0.831,0.36,-1.99,0.2,-0.19,2.28,-0.24,-0.54,-0.38,2.24,0.76,-0.02,-1.1,299.2,297.1,295.2,298.2,0.643,0.5,0.214,0.786
"Fleetwood, Tommy",Torrey Pines (South),2021,2021-06-20,72,73,74,73,1.718,0.787,-1.592,0.169,0.99,1.59,-0.64,-1.7,-0.54,0.42,-1.31,-0.51,1.78,-0.2,-0.15,2.41,299.5,303.2,309.6,303.0,0.357,0.214,0.5,0.429
"Woodland, Gary",Torrey Pines (South),2021,2021-06-20,74,71,73,74,-0.282,2.787,-0.592,-0.831,-1.03,1.49,-0.3,-0.83,-0.55,-0.92,-0.93,1.06,-1.13,1.27,-0.47,-1.15,315.5,312.5,306.3,313.2,0.786,0.429,0.714,0.429
"Kisner, Kevin",Torrey Pines (South),2021,2021-06-20,73,73,72,75,0.718,0.787,0.408,-1.831,-0.79,-0.84,0.45,-1.41,-0.78,1.42,0.22,-0.04,1.93,1.42,-0.26,0.26,294.2,290.2,291.5,295.0,0.571,0.286,0.643,0.5
"Fitzpatrick, Matt",Torrey Pines (South),2021,2021-06-20,70,75,72,76,3.718,-1.213,0.408,-2.831,3.28,-0.49,-0.76,-0.78,0.86,-0.32,0.23,-1.21,-0.94,-1.94,-0.02,-0.34,310.8,310.7,305.7,300.9,0.5,0.786,0.643,0.357
"Cink, Stewart",Torrey Pines (South),2021,2021-06-20,73,72,74,75,0.718,1.787,-1.592,-1.831,1.67,1.79,-2.82,-0.46,-1.82,1.12,-0.14,0.55,2.21,-1.89,0.44,-1.04,295.5,311.4,308.0,305.7,0.214,0.5,0.643,0.286
"Hoffman, Charley",Torrey Pines (South),2021,2021-06-20,72,71,75,76,1.718,2.787,-2.592,-2.831,-0.08,0.37,-1.62,-0.84,-0.36,-0.28,0.2,0.21,1.89,2.86,-2.22,-2.25,307.7,307.7,312.9,310.8,0.429,0.286,0.571,0.429
"Vegas, Jhonattan",Torrey Pines (South),2021,2021-06-20,75,69,74,76,-1.282,4.787,-1.592,-2.831,2.94,1.45,-0.54,-0.85,-0.98,-0.31,0.52,0.67,-4.5,2.77,-2.08,-2.07,313.1,314.9,314.0,313.6,0.571,0.429,0.429,0.429
"Montgomery, Taylor",Torrey Pines (South),2021,2021-06-20,70,76,74,74,3.718,-2.213,-1.592,-0.831,-1.13,-0.87,-3.62,-2.48,0.08,-2.03,-0.34,-1.37,4.59,-1.14,0.92,2.62,302.6,314.2,316.7,310.4,0.5,0.643,0.643,0.5
"Bhatia, Akshay",Torrey Pines (South),2021,2021-06-20,73,73,73,75,0.718,0.787,-0.592,-1.831,-1.16,0.54,-0.72,0.15,1.45,-0.26,-0.05,1.22,-0.03,0.77,-0.2,-2.65,301.1,298.4,309.4,304.0,0.571,0.5,0.5,0.571
"Mickelson, Phil",Torrey Pines (South),2021,2021-06-20,75,69,76,75,-1.282,4.787,-3.592,-1.831,-1.57,0.28,1.44,0.62,1.36,1.33,-1.67,0.07,-1.83,2.06,-2.62,-2.21,296.4,307.0,294.1,300.0,0.571,0.643,0.429,0.429
"Sigg, Greyson",Torrey Pines (South),2021,2021-06-20,71,74,75,75,2.718,-0.213,-2.592,-1.831,3.54,-0.28,-1.89,-1.06,-1.49,-0.5,0.68,1.63,-0.25,0.34,-1.04,-2.56,304.7,303.9,302.9,308.5,0.571,0.357,0.429,0.429
"Leishman, Marc",Torrey Pines (South),2021,2021-06-20,74,70,75,77,-0.282,3.787,-2.592,-3.831,-0.2,1.52,-1.31,0.48,0.07,-1.12,-0.29,-0.53,-0.01,3.76,-1.08,-2.25,293.1,296.0,300.5,297.3,0.571,0.429,0.571,0.143
