Player Name,Course Name,Year Played,Date Completed,Round 1 Score,Round 2 Score,Round 3 Score,Round 4 Score,Round 1 SG Total,Round 2 SG Total,Round 3 SG Total,Round 4 SG Total,Round 1 SG App,Round 2 SG App,Round 3 SG App,Round 4 SG App,Round 1 SG Arg,Round 2 SG Arg,Round 3 SG Arg,Round 4 SG Arg,Round 1 SG Putt,Round 2 SG Putt,Round 3 SG Putt,Round 4 SG Putt,Round 1 Driving Distance,Round 2 Driving Distance,Round 3 Driving Distance,Round 4 Driving Distance,Round 1 Driving Accuracy,Round 2 Driving Accuracy,Round 3 Driving Accuracy,Round 4 Driving Accuracy
"Jones, Matt",Torrey Pines (South),2021,2021-06-20,72,71,79,75,1.718,2.787,-6.592,-1.831,-1.03,0.24,-3.99,-0.53,2.21,2.55,-0.24,0.96,0.77,0.95,-1.77,-2.3,304.9,297.9,305.3,309.7,0.357,0.357,0.429,0.429
"Merritt, Troy",Torrey Pines (South),2021,2021-06-20,75,71,73,78,-1.282,2.787,-0.592,-4.831,-2.48,1.35,1.69,-1.81,0.54,0.78,0.14,-1.4,0.98,0.01,-0.66,-0.01,291.5,294.1,290.2,289.1,0.5,0.714,0.357,0.357
"Lowry, Shane",Torrey Pines (South),2021,2021-06-20,72,74,72,79,1.718,-0.213,0.408,-5.831,3.39,1.75,-0.15,-0.82,0.84,-0.14,0.85,-1.34,-1.46,-1.05,0.28,-2.9,297.0,306.0,302.8,302.1,0.5,0.286,0.429,0.5
"Westmoreland, Kyle",Torrey Pines (South),2021,2021-06-20,71,73,78,76,2.718,0.787,-5.592,-2.831,2.45,1.0,-2.67,1.08,0.19,0.32,-3.56,-2.41,0.33,0.59,0.76,-2.1,316.8,317.2,317.5,323.9,0.143,0.214,0.286,0.429
"Nienaber, Wilco",Torrey Pines (South),2021,2021-06-20,72,74,80,72,1.718,-0.213,-7.592,1.169,0.8,-1.01,-2.5,0.31,-0.3,0.84,-2.76,-0.41,-1.02,-1.8,-2.11,1.32,333.1,347.6,330.4,334.5,0.429,0.357,0.214,0.429
"Walker, Jimmy",Torrey Pines (South),2021,2021-06-20,74,72,77,80,-0.282,1.787,-4.592,-6.831,-0.66,-0.65,0.32,-3.47,1.13,-0.33,-2.87,-2.09,-1.02,4.04,-0.35,-1.65,299.3,297.0,298.1,312.1,0.571,0.286,0.214,0.5
"Gomez, Fabian",Torrey Pines (South),2021,2021-06-20,70,76,78,79,3.718,-2.213,-5.592,-5.831,1.29,1.3,-5.13,-1.03,-0.35,-0.17,1.59,0.62,3.35,-0.67,-1.44,-4.23,287.4,285.3,285.1,284.1,0.5,0.357,0.571,0.5
"Wiesberger, Bernd",Torrey Pines (South),2021,2021-06-20,75,72,,,-1.282,1.787,,,2.46,2.07,,,-0.79,0.59,,,-2.31,-0.79,,,299.2,301.8,,,0.429,0.429,,
"Steele, Brendan",Torrey Pines (South),2021,2021-06-20,73,74,,,0.718,-0.213,,,0.17,-0.78,,,0.47,-1.31,,,0.32,1.64,,,296.3,300.1,,,0.5,0.571,,
"Detry, Thomas",Torrey Pines (South),2021,2021-06-20,71,76,,,2.718,-2.213,,,2.0,-1.83,,,-0.56,-0.02,,,1.86,0.62,,,303.5,311.4,,,0.214,0.357,,
"Smith, Cameron",Torrey Pines (South),2021,2021-06-20,72,75,,,1.718,-1.213,,,0.53,2.13,,,-0.57,-5.25,,,1.76,1.75,,,296.7,304.2,,,0.5,0.571,,
"Ryder, Sam",Torrey Pines (South),2021,2021-06-20,77,70,,,-3.282,3.787,,,-2.57,0.53,,,-1.35,2.26,,,1.09,1.59,,,297.6,295.4,,,0.429,0.357,,
"van Rooyen, Erik",Torrey Pines (South),2021,2021-06-20,74,73,,,-0.282,0.787,,,1.37,-0.98,,,-0.45,-0.52,,,-0.26,2.92,,,296.4,303.0,,,0.286,0.214,,
"Pendrith, Taylor",Torrey Pines (South),2021,2021-06-20,75,72,,,-1.282,1.787,,,-1.76,-1.67,,,0.38,2.07,,,-1.11,-0.8,,,325.8,322.0,,,0.357,0.714,,
"Armitage, Marcus",Torrey Pines (South),2021,2021-06-20,71,76,,,2.718,-2.213,,,2.19,-2.01,,,0.98,0.4,,,-0.81,-0.78,,,298.4,303.6,,,0.571,0.571,,
"Kozan, Andrew",Torrey Pines (South),2021,2021-06-20,71,76,,,2.718,-2.213,,,2.58,-2.37,,,0.19,-1.19,,,0.8,1.04,,,293.4,301.9,,,0.286,0.571,,
"Burns, Sam",Torrey Pines (South),2021,2021-06-20,73,74,,,0.718,-0.213,,,-3.0,1.39,,,1.19,-0.69,,,2.89,-1.19,,,306.4,305.8,,,0.286,0.5,,
"Zaback, Zach",Torrey Pines (South),2021,2021-06-20,75,72,,,-1.282,1.787,,,-1.06,2.39,,,1.6,-0.99,,,-1.84,0.86,,,295.0,298.3,,,0.571,0.357,,
"Clark, Wyndham",Torrey Pines (South),2021,2021-06-20,75,72,,,-1.282,1.787,,,0.55,-0.6,,,-1.93,-0.61,,,-0.7,2.65,,,319.3,319.2,,,0.357,0.357,,
"Kuchar, Matt",Torrey Pines (South),2021,2021-06-20,73,75,,,0.718,-1.213,,,0.23,-1.46,,,2.38,1.86,,,-1.55,-0.19,,,288.4,288.9,,,0.5,0.571,,
"Johnson, Zach",Torrey Pines (South),2021,2021-06-20,75,73,,,-1.282,0.787,,,0.62,-0.62,,,1.09,-0.17,,,-1.49,0.78,,,285.2,294.2,,,0.643,0.714,,
"Ortiz, Carlos",Torrey Pines (South),2021,2021-06-20,75,73,,,-1.282,0.787,,,-1.75,2.22,,,-1.14,-0.45,,,0.67,-1.2,,,310.4,307.1,,,0.643,0.429,,
"Hatton, Tyrrell",Torrey Pines (South),2021,2021-06-20,70,78,,,3.718,-4.213,,,0.78,-2.94,,,2.05,1.66,,,1.08,-3.5,,,310.5,310.7,,,0.286,0.357,,
"Conners, Corey",Torrey Pines (South),2021,2021-06-20,75,73,,,-1.282,0.787,,,-1.52,0.31,,,0.78,2.48,,,-1.97,-2.31,,,304.9,297.7,,,0.714,0.571,,
"Veerman, Johannes",Torrey Pines (South),2021,2021-06-20,73,75,,,0.718,-1.213,,,-0.49,-2.35,,,0.32,-0.28,,,1.49,1.57,,,303.9,307.2,,,0.214,0.357,,
"Wallace, Matt",Torrey Pines (South),2021,2021-06-20,74,74,,,-0.282,-0.213,,,-1.59,-0.17,,,0.45,2.09,,,0.62,-2.24,,,308.0,306.3,,,0.5,0.5,,
"Munoz, Sebastian",Torrey Pines (South),2021,2021-06-20,71,77,,,2.718,-3.213,,,0.68,2.29,,,2.47,-0.93,,,0.32,-3.28,,,295.0,294.3,,,0.286,0.357,,
"Higgo, Garrick",Torrey Pines (South),2021,2021-06-20,76,72,,,-2.282,1.787,,,0.18,0.06,,,-1.68,0.4,,,-1.57,0.14,,,309.5,317.6,,,0.429,0.5,,
"Osborne, Ollie",Torrey Pines (South),2021,2021-06-20,76,72,,,-2.282,1.787,,,-0.17,1.12,,,-2.15,0.89,,,-1.06,-1.17,,,323.8,317.3,,,0.429,0.357,,
"Ralston, Spencer",Torrey Pines (South),2021,2021-06-20,75,73,,,-1.282,0.787,,,-1.41,-0.92,,,0.11,0.55,,,0.86,0.81,,,291.0,298.4,,,0.429,0.429,,
"Horschel, Billy",Torrey Pines (South),2021,2021-06-20,74,75,,,-0.282,-1.213,,,2.24,0.52,,,0.09,-1.47,,,-3.23,-1.3,,,297.4,304.4,,,0.643,0.714,,
"Todd, Brendon",Torrey Pines (South),2021,2021-06-20,78,71,,,-4.282,2.787,,,-1.83,0.97,,,1.24,-0.18,,,-2.64,2.64,,,273.8,274.0,,,0.643,0.786,,
"Sucher, Zack",Torrey Pines (South),2021,2021-06-20,75,74,,,-1.282,-0.213,,,-0.13,0.1,,,1.2,-0.14,,,-1.4,0.68,,,288.2,295.6,,,0.357,0.357,,
"Johnson, Michael",Torrey Pines (South),2021,2021-06-20,74,75,,,-0.282,-1.213,,,-0.05,-1.73,,,0.04,-0.31,,,-0.31,1.72,,,304.8,302.1,,,0.5,0.286,,
"Homa, Max",Torrey Pines (South),2021,2021-06-20,76,73,,,-2.282,0.787,,,1.22,-0.72,,,-0.19,-0.89,,,-3.95,1.5,,,293.3,298.7,,,0.5,0.643,,
"Smith, Jordan L",Torrey Pines (South),2021,2021-06-20,77,72,,,-3.282,1.787,,,-1.68,0.78,,,-1.64,1.8,,,-0.99,0.31,,,310.3,301.6,,,0.643,0.143,,
"Zalatoris, Will",Torrey Pines (South),2021,2021-06-20,75,74,,,-1.282,-0.213,,,0.67,1.36,,,-0.42,-1.39,,,-1.92,-1.16,,,318.1,318.6,,,0.357,0.5,,
"Theegala, Sahith",Torrey Pines (South),2021,2021-06-20,76,73,,,-2.282,0.787,,,1.32,-1.92,,,0.08,-1.87,,,-1.22,3.79,,,298.5,307.1,,,0.429,0.5,,
"Highsmith, Joe",Torrey Pines (South),2021,2021-06-20,76,73,,,-2.282,0.787,,,-1.26,-0.47,,,1.21,0.49,,,-2.21,-0.46,,,308.6,317.3,,,0.357,0.5,,
"Na, Kevin",Torrey Pines (South),2021,2021-06-20,77,73,,,-3.282,0.787,,,-0.42,0.1,,,-0.47,1.81,,,-1.47,1.94,,,285.9,282.6,,,0.571,0.357,,
"Palmer, Ryan",Torrey Pines (South),2021,2021-06-20,76,74,,,-2.282,-0.213,,,1.64,0.82,,,0.13,1.87,,,-4.91,-1.92,,,311.7,307.4,,,0.5,0.286,,
"Laird, Martin",Torrey Pines (South),2021,2021-06-20,74,76,,,-0.282,-2.213,,,1.11,-1.38,,,-0.78,-0.33,,,-1.09,-2.02,,,292.8,298.4,,,0.714,0.857,,
"Finau, Tony",Torrey Pines (South),2021,2021-06-20,74,76,,,-0.282,-2.213,,,0.03,-1.25,,,1.03,-2.66,,,-0.7,3.48,,,306.8,299.9,,,0.214,0.143,,
"Ancer, Abraham",Torrey Pines (South),2021,2021-06-20,73,77,,,0.718,-3.213,,,3.74,2.39,,,-1.4,-1.63,,,-0.3,-1.86,,,291.4,284.7,,,0.286,0.214,,
"Shelton, Robby",Torrey Pines (South),2021,2021-06-20,78,72,,,-4.282,1.787,,,-0.1,0.62,,,-2.69,2.62,,,-0.57,-1.92,,,300.4,303.7,,,0.357,0.643,,
"Hammer, Cole",Torrey Pines (South),2021,2021-06-20,77,73,,,-3.282,0.787,,,-1.36,2.32,,,0.03,-0.57,,,-2.27,-0.26,,,297.2,305.9,,,0.571,0.286,,
"Perez, Victor",Torrey Pines (South),2021,2021-06-20,75,75,,,-1.282,-1.213,,,-0.58,-1.75,,,-0.53,0.67,,,-1.38,-1.03,,,301.0,305.1,,,0.786,0.714,,
"Cole, Eric",Torrey Pines (South),2021,2021-06-20,77,73,,,-3.282,0.787,,,-1.05,-0.62,,,-3.26,0.09,,,1.37,0.95,,,302.2,302.0,,,0.357,0.571,,
"Springer, Hayden",Torrey Pines (South),2021,2021-06-20,77,73,,,-3.282,0.787,,,-1.73,-0.05,,,-0.54,0.19,,,-0.15,1.38,,,297.7,308.1,,,0.429,0.286,,
"Gagne, Luis",Torrey Pines (South),2021,2021-06-20,75,75,,,-1.282,-1.213,,,-1.6,-3.29,,,1.53,1.78,,,0.36,0.2,,,288.7,295.2,,,0.357,0.429,,
"Young, Cameron",Torrey Pines (South),2021,2021-06-20,72,78,,,1.718,-4.213,,,-2.22,-2.56,,,-0.01,0.06,,,2.66,-1.62,,,312.1,315.0,,,0.571,0.357,,
"Kokrak, Jason",Torrey Pines (South),2021,2021-06-20,73,78,,,0.718,-4.213,,,1.16,-3.23,,,-1.06,-2.2,,,0.81,0.96,,,304.0,311.2,,,0.429,0.286,,
"Asaji, Yosuke",Torrey Pines (South),2021,2021-06-20,76,75,,,-2.282,-1.213,,,-2.68,-0.81,,,-0.04,1.21,,,0.8,-1.0,,,282.5,284.3,,,0.643,0.5,,
"Stuard, Brian",Torrey Pines (South),2021,2021-06-20,78,73,,,-4.282,0.787,,,-2.19,2.37,,,1.53,0.64,,,-3.05,-1.0,,,284.5,278.5,,,0.571,0.571,,
"Meronk, Adrian",Torrey Pines (South),2021,2021-06-20,72,79,,,1.718,-5.213,,,-0.69,-3.21,,,0.2,-3.48,,,2.2,0.85,,,296.7,309.5,,,0.5,0.5,,
"Malnati, Peter",Torrey Pines (South),2021,2021-06-20,75,76,,,-1.282,-2.213,,,-0.8,-0.15,,,-0.68,0.4,,,0.13,-2.77,,,291.7,300.5,,,0.5,0.5,,
"Southgate, Matthew",Torrey Pines (South),2021,2021-06-20,75,76,,,-1.282,-2.213,,,0.71,0.73,,,-1.69,-0.88,,,-1.06,-1.55,,,302.5,293.5,,,0.571,0.5,,
"Barjon, Paul",Torrey Pines (South),2021,2021-06-20,73,78,,,0.718,-4.213,,,0.65,-0.36,,,0.02,-0.12,,,0.48,-4.36,,,302.9,308.3,,,0.357,0.571,,
"Champ, Cameron",Torrey Pines (South),2021,2021-06-20,76,75,,,-2.282,-1.213,,,-0.66,-0.13,,,-1.64,-2.84,,,-0.9,0.58,,,322.7,322.0,,,0.357,0.429,,
"Buckley, Hayden",Torrey Pines (South),2021,2021-06-20,69,82,,,4.718,-8.213,,,0.85,-1.47,,,1.04,-1.56,,,1.89,-4.02,,,302.7,295.2,,,0.643,0.357,,
"Coody, Pierceson",Torrey Pines (South),2021,2021-06-20,73,78,,,0.718,-4.213,,,-0.26,-2.54,,,-0.09,-2.15,,,-0.52,0.56,,,310.8,315.4,,,0.571,0.429,,
"Sharpstene, Matt",Torrey Pines (South),2021,2021-06-20,74,77,,,-0.282,-3.213,,,-2.61,-1.32,,,-0.66,-3.35,,,1.55,0.38,,,311.7,315.5,,,0.5,0.571,,
"Stenson, Henrik",Torrey Pines (South),2021,2021-06-20,76,76,,,-2.282,-2.213,,,0.25,-0.08,,,0.75,-0.54,,,-0.67,-1.65,,,276.2,295.2,,,0.286,0.5,,
"Kennedy, Brad",Torrey Pines (South),2021,2021-06-20,74,78,,,-0.282,-4.213,,,-0.71,1.76,,,0.07,-1.24,,,1.02,-3.31,,,278.6,273.2,,,0.5,0.5,,
"Simpson, Webb",Torrey Pines (South),2021,2021-06-20,79,73,,,-5.282,0.787,,,-1.23,1.45,,,0.3,-0.24,,,-2.02,-0.51,,,291.7,299.5,,,0.357,0.571,,
"Spaun, J.J.",Torrey Pines (South),2021,2021-06-20,77,75,,,-3.282,-1.213,,,-0.27,-2.03,,,-3.41,0.95,,,0.11,-0.24,,,291.8,300.1,,,0.643,0.5,,
"Schmid, Matthias",Torrey Pines (South),2021,2021-06-20,76,76,,,-2.282,-2.213,,,-0.67,-2.73,,,-0.8,-0.33,,,-0.44,1.4,,,306.7,308.8,,,0.357,0.286,,
"Suh, Justin",Torrey Pines (South),2021,2021-06-20,78,74,,,-4.282,-0.213,,,0.49,-0.88,,,0.2,0.07,,,-5.2,1.81,,,296.7,305.1,,,0.5,0.5,,
"Shore, Davis",Torrey Pines (South),2021,2021-06-20,76,76,,,-2.282,-2.213,,,0.68,-4.74,,,-0.59,0.96,,,-1.38,1.89,,,288.3,295.7,,,0.357,0.429,,
"Aiken, Thomas",Torrey Pines (South),2021,2021-06-20,80,73,,,-6.282,0.787,,,-3.96,-0.5,,,-1.06,0.6,,,0.89,1.01,,,271.6,280.9,,,0.357,0.714,,
"Kang, Sung",Torrey Pines (South),2021,2021-06-20,75,78,,,-1.282,-4.213,,,0.31,0.16,,,-0.04,-0.21,,,-1.83,-3.9,,,294.7,297.6,,,0.429,0.5,,
"Ishikawa, Ryo",Torrey Pines (South),2021,2021-06-20,77,76,,,-3.282,-2.213,,,-1.45,-0.39,,,-1.98,0.15,,,0.18,-1.59,,,307.1,312.5,,,0.429,0.286,,
"Pope, Andy",Torrey Pines (South),2021,2021-06-20,76,77,,,-2.282,-3.213,,,-2.27,1.06,,,0.25,-0.94,,,-0.27,-2.85,,,287.0,286.1,,,0.714,0.5,,
"Kim, Chan",Torrey Pines (South),2021,2021-06-20,76,77,,,-2.282,-3.213,,,1.47,-0.7,,,-0.17,-1.25,,,-3.9,-1.4,,,311.9,301.4,,,0.357,0.357,,
"Cootes, Roy",Torrey Pines (South),2021,2021-06-20,76,77,,,-2.282,-3.213,,,-3.77,-1.86,,,-0.05,-3.2,,,1.46,1.9,,,290.0,287.5,,,0.5,0.714,,
"Long, Joe",Torrey Pines (South),2021,2021-06-20,77,76,,,-3.282,-2.213,,,-3.24,0.89,,,1.2,1.53,,,-1.32,-4.11,,,295.3,300.7,,,0.571,0.357,,
"Coupland, David",Torrey Pines (South),2021,2021-06-20,74,80,,,-0.282,-6.213,,,-0.41,-1.88,,,-1.68,-0.07,,,2.56,-2.66,,,290.7,294.1,,,0.429,0.643,,
"Rose, Justin",Torrey Pines (South),2021,2021-06-20,78,77,,,-4.282,-3.213,,,-3.13,0.85,,,-0.75,-1.2,,,-1.08,-1.85,,,305.0,293.0,,,0.643,0.286,,
"Lee, K.H.",Torrey Pines (South),2021,2021-06-20,76,79,,,-2.282,-5.213,,,-0.95,-2.15,,,-1.34,-0.1,,,-0.6,-3.17,,,300.8,298.2,,,0.643,0.643,,
"Schaake, Carson",Torrey Pines (South),2021,2021-06-20,76,79,,,-2.282,-5.213,,,0.09,-1.81,,,-0.75,-0.63,,,1.33,-0.52,,,286.0,278.2,,,0.214,0.143,,
"Crawford, Chris",Torrey Pines (South),2021,2021-06-20,76,79,,,-2.282,-5.213,,,-0.44,-3.6,,,0.63,-1.95,,,-1.49,1.12,,,299.6,298.3,,,0.286,0.429,,
"Hoag, Bo",Torrey Pines (South),2021,2021-06-20,78,78,,,-4.282,-4.213,,,-2.51,-1.38,,,0.93,-0.18,,,-1.44,-2.65,,,291.1,293.6,,,0.357,0.571,,
"Barco, Luis Fernando",Torrey Pines (South),2021,2021-06-20,77,79,,,-3.282,-5.213,,,-3.93,-1.95,,,-0.95,-3.23,,,1.57,1.16,,,295.5,298.8,,,0.5,0.5,,
"Meyer, Dylan",Torrey Pines (South),2021,2021-06-20,78,78,,,-4.282,-4.213,,,-0.35,0.19,,,-1.05,-3.07,,,-2.0,0.13,,,291.5,286.4,,,0.357,0.357,,
"Strafaci, Tyler",Torrey Pines (South),2021,2021-06-20,78,78,,,-4.282,-4.213,,,-2.52,-3.2,,,-1.1,-0.08,,,0.54,0.11,,,283.0,292.5,,,0.357,0.286,,
"Huh, John",Torrey Pines (South),2021,2021-06-20,80,77,,,-6.282,-3.213,,,-2.22,0.87,,,-0.21,-0.41,,,-3.55,-3.6,,,290.8,291.8,,,0.357,0.571,,
"Carmona, Mario",Torrey Pines (South),2021,2021-06-20,77,80,,,-3.282,-6.213,,,1.57,2.01,,,-1.5,-3.21,,,-3.11,-2.59,,,291.4,294.9,,,0.429,0.071,,
"Ortiz, Alvaro",Torrey Pines (South),2021,2021-06-20,82,75,,,-8.282,-1.213,,,-2.63,-2.09,,,-4.37,2.19,,,-0.09,0.12,,,306.7,305.3,,,0.143,0.286,,
"Allan, Steve",Torrey Pines (South),2021,2021-06-20,80,79,,,-6.282,-5.213,,,-3.1,-0.54,,,0.32,-1.7,,,-1.06,-2.25,,,287.6,290.3,,,0.143,0.429,,
"Furr, Wilson",Torrey Pines (South),2021,2021-06-20,77,82,,,-3.282,-8.213,,,-4.25,-2.5,,,0.12,-3.86,,,0.91,-1.14,,,304.3,301.9,,,0.429,0.286,,
"Hervol, James",Torrey Pines (South),2021,2021-06-20,79,81,,,-5.282,-7.213,,,-4.16,-2.2,,,0.04,-4.13,,,-1.29,-1.7,,,305.8,306.4,,,0.357,0.571,,
"Hovland, Viktor",Torrey Pines (South),2021,2021-06-20,74,,,,-0.282,,,,,,,,,,,,,,,,304.9,,,,0.286,,,
